Entity,Code,Year,Annual COâ‚‚ emissions
Africa,,1950,94868000
Europe,,1950,2383384000
South America,,1950,112569750
Oceania,,1950,64713932
North America,,1950,2744660700
Asia,,1950,400538660
Africa,,1951,101125270
Europe,,1951,2630270000
South America,,1951,131276180
Oceania,,1951,69779190
Asia,,1951,454912480
North America,,1951,2840638500
Europe,,1952,2714044400
South America,,1952,141463470
Oceania,,1952,72499576
North America,,1952,2768157700
Asia,,1952,504556450
Africa,,1952,110325210
North America,,1953,2831903700
Africa,,1953,112007010
Oceania,,1953,72268020
Europe,,1953,2791584800
Asia,,1953,540103200
South America,,1953,140631970
Asia,,1954,591870460
South America,,1954,151041460
North America,,1954,2718188000
Oceania,,1954,77804776
Africa,,1954,117536136
Europe,,1954,2970115000
North America,,1955,2966196000
Europe,,1955,3233784800
Africa,,1955,129402480
Oceania,,1955,82445600
South America,,1955,170065740
Asia,,1955,674600200
Africa,,1956,135106240
Oceania,,1956,86729070
Asia,,1956,749081200
North America,,1956,3123996700
Europe,,1956,3445350100
South America,,1956,184167710
Oceania,,1957,87260540
Asia,,1957,843316500
South America,,1957,192903300
Africa,,1957,141593100
Europe,,1957,3593321500
North America,,1957,3103150300
Oceania,,1958,89274136
Asia,,1958,1137698600
Europe,,1958,3631810600
North America,,1958,3022597000
Africa,,1958,148670910
South America,,1958,178736500
South America,,1959,196974220
Europe,,1959,3713288400
North America,,1959,3114762000
Africa,,1959,147841220
Oceania,,1959,94416940
Asia,,1959,1373387100
Africa,,1960,156567170
South America,,1960,199140540
Europe,,1960,3964574500
Oceania,,1960,100298744
North America,,1960,3188963000
Asia,,1960,1538169200
Europe,,1961,4109427000
South America,,1961,201756400
North America,,1961,3184178700
Africa,,1961,161994320
Asia,,1961,1393016700
Oceania,,1961,100182616
Asia,,1962,1342041900
Africa,,1962,166334880
Europe,,1962,4336451600
South America,,1962,215629970
North America,,1962,3309201700
Oceania,,1962,103294030
North America,,1963,3442070500
Asia,,1963,1422549800
Oceania,,1963,109549700
South America,,1963,219379200
Africa,,1963,176334850
Europe,,1963,4609470500
North America,,1964,3620783400
South America,,1964,230147580
Africa,,1964,193639330
Asia,,1964,1506792300
Oceania,,1964,118717740
Europe,,1964,4839294000
North America,,1965,3771195000
Asia,,1965,1649219000
Africa,,1965,213634380
South America,,1965,240092670
Oceania,,1965,129477440
Europe,,1965,4981611000
Europe,,1966,5153137700
Africa,,1966,221082080
North America,,1966,3955965200
South America,,1966,251989390
Asia,,1966,1796366200
Oceania,,1966,132279140
Europe,,1967,5267011600
North America,,1967,4126583300
Asia,,1967,1824324200
South America,,1967,267328100
Africa,,1967,237045170
Oceania,,1967,138611220
North America,,1968,4288999000
Europe,,1968,5512483000
Oceania,,1968,145432300
South America,,1968,287605000
Africa,,1968,257384030
Asia,,1968,2015173600
Oceania,,1969,153718830
Africa,,1969,277916000
South America,,1969,311235260
Europe,,1969,5812589600
North America,,1969,4501258000
Asia,,1969,2288600000
Africa,,1970,302623900
North America,,1970,4861966300
South America,,1970,337826140
Oceania,,1970,166214060
Asia,,1970,2695769600
Europe,,1970,6094492700
Asia,,1971,2950089000
Europe,,1971,6323188000
North America,,1971,4915418000
Africa,,1971,331861400
South America,,1971,346539170
Oceania,,1971,170642140
South America,,1972,362556700
Africa,,1972,351871100
Europe,,1972,6552128500
North America,,1972,5161172500
Oceania,,1972,174019410
Asia,,1972,3120029000
Oceania,,1973,193619740
Asia,,1973,3351352300
Africa,,1973,378003360
North America,,1973,5396047000
Europe,,1973,6844701700
South America,,1973,392667400
Asia,,1974,3410965200
Africa,,1974,388389600
Europe,,1974,6862857000
South America,,1974,416530270
Oceania,,1974,190731230
North America,,1974,5250139600
South America,,1975,411657630
North America,,1975,5126900700
Asia,,1975,3576356000
Europe,,1975,6902365700
Oceania,,1975,196819650
Africa,,1975,387265120
Asia,,1976,3801276000
Oceania,,1976,194205660
Africa,,1976,420141100
Europe,,1976,7277034000
South America,,1976,419328960
North America,,1976,5433470000
Africa,,1977,433115100
Oceania,,1977,207571890
Europe,,1977,7333232600
South America,,1977,434808350
Asia,,1977,4045921000
North America,,1977,5589918000
Europe,,1978,7565711000
Asia,,1978,4227023400
South America,,1978,462110140
Oceania,,1978,213846820
North America,,1978,5676014600
Africa,,1978,462487070
Africa,,1979,499060700
Asia,,1979,4400641500
Oceania,,1979,213960100
Europe,,1979,7745266700
North America,,1979,5791393000
South America,,1979,494336160
Oceania,,1980,227388100
North America,,1980,5620071400
South America,,1980,508353860
Europe,,1980,7749258000
Africa,,1980,535678370
Asia,,1980,4395379700
North America,,1981,5494361600
Europe,,1981,7467589600
Africa,,1981,548570700
Asia,,1981,4368962000
Oceania,,1981,235791570
South America,,1981,489719070
Europe,,1982,7407606300
Asia,,1982,4518591000
North America,,1982,5262363600
South America,,1982,490869630
Oceania,,1982,241295580
Africa,,1982,571727200
Europe,,1983,7414092000
North America,,1983,5202117600
South America,,1983,485836380
Asia,,1983,4700642300
Africa,,1983,594561000
Oceania,,1983,230603340
North America,,1984,5459921000
South America,,1984,491463070
Asia,,1984,4974816000
Europe,,1984,7465076700
Africa,,1984,649325060
Oceania,,1984,241779620
North America,,1985,5463513600
Asia,,1985,5266013700
Africa,,1985,665686400
Europe,,1985,7789208600
Oceania,,1985,251881950
South America,,1985,501802700
Africa,,1986,689698050
Oceania,,1986,252363400
North America,,1986,5448221700
Europe,,1986,7802156000
Asia,,1986,5492050000
South America,,1986,529758620
North America,,1987,5654275000
Africa,,1987,689703300
Asia,,1987,5727687000
Europe,,1987,7825480700
Oceania,,1987,264348260
South America,,1987,557251900
Europe,,1988,7862962000
Africa,,1988,724696800
Oceania,,1988,271776800
North America,,1988,5903724000
Asia,,1988,6189060000
South America,,1988,580149570
North America,,1989,6015881000
Oceania,,1989,287940100
Asia,,1989,6404369400
Europe,,1989,7828834300
Africa,,1989,697796860
South America,,1989,579468740
Africa,,1990,658281400
Asia,,1990,6608574500
Oceania,,1990,309502850
North America,,1990,5989847000
South America,,1990,599200260
Europe,,1990,8038430700
South America,,1991,606668860
Africa,,1991,687829100
Oceania,,1991,311629250
Europe,,1991,7738463000
Asia,,1991,7405573000
North America,,1991,5935607300
Africa,,1992,666901500
Asia,,1992,7248764400
South America,,1992,618657300
Oceania,,1992,318665250
North America,,1992,6061895000
Europe,,1992,7097750500
Asia,,1993,7582536000
Oceania,,1993,322921300
Africa,,1993,706661500
South America,,1993,653444400
North America,,1993,6166705000
Europe,,1993,6807967000
Africa,,1994,790281400
South America,,1994,656305860
Oceania,,1994,328049120
North America,,1994,6290008600
Asia,,1994,7937216500
Europe,,1994,6447623000
Oceania,,1995,339533630
North America,,1995,6349919000
South America,,1995,689413000
Europe,,1995,6424747500
Africa,,1995,844556600
Asia,,1995,8257986000
Oceania,,1996,348048860
Asia,,1996,8596896000
Africa,,1996,872320830
North America,,1996,6570372600
Europe,,1996,6473145300
South America,,1996,719730100
South America,,1997,766787600
Europe,,1997,6267733500
Oceania,,1997,358511400
Asia,,1997,8717279000
Africa,,1997,893989200
North America,,1997,6687401500
Oceania,,1998,371805380
South America,,1998,826148800
North America,,1998,6759180300
Africa,,1998,912442100
Asia,,1998,8473237000
Europe,,1998,6240960000
Asia,,1999,8952734000
South America,,1999,812354050
Africa,,1999,899677440
North America,,1999,6854257000
Oceania,,1999,382569180
Europe,,1999,6157762000
Asia,,2000,9328854000
South America,,2000,811730050
Oceania,,2000,390087700
Europe,,2000,6155590700
Africa,,2000,930042600
North America,,2000,7100392000
Africa,,2001,919542850
Oceania,,2001,400402500
Asia,,2001,9491190000
Europe,,2001,6282255400
South America,,2001,791288060
North America,,2001,7011180500
North America,,2002,7062293000
Africa,,2002,899274200
South America,,2002,819469060
Europe,,2002,6249997000
Oceania,,2002,406002100
Asia,,2002,10012849000
Africa,,2003,988565440
North America,,2003,7175886000
South America,,2003,820048260
Europe,,2003,6396391000
Asia,,2003,11021268000
Oceania,,2003,415572540
South America,,2004,856521860
Oceania,,2004,429314880
Europe,,2004,6429227000
North America,,2004,7276133000
Africa,,2004,1044866750
Asia,,2004,11680722000
Oceania,,2005,434618750
Africa,,2005,1063180000
South America,,2005,881097860
Europe,,2005,6421545500
North America,,2005,7324302300
Asia,,2005,12527827000
Africa,,2006,1092165900
Europe,,2006,6522041000
South America,,2006,909007400
Oceania,,2006,440847580
Asia,,2006,13389901000
North America,,2006,7259958300
Oceania,,2007,448951040
Asia,,2007,14088936000
Africa,,2007,1122721400
North America,,2007,7366565000
Europe,,2007,6479696000
South America,,2007,943791740
South America,,2008,987600000
North America,,2008,7133400600
Oceania,,2008,453164500
Africa,,2008,1175619600
Europe,,2008,6404985300
Asia,,2008,14828029000
North America,,2009,6651773400
Europe,,2009,5892881400
Asia,,2009,15345886000
Africa,,2009,1173163400
Oceania,,2009,453392670
South America,,2009,961180500
Asia,,2010,16496831000
North America,,2010,6866123000
Oceania,,2010,452128000
Africa,,2010,1215373700
Europe,,2010,6123992000
South America,,2010,1072131140
Africa,,2011,1255083900
Europe,,2011,6049206000
North America,,2011,6768487000
Asia,,2011,17715628000
Oceania,,2011,450865600
South America,,2011,1088917200
South America,,2012,1143867000
North America,,2012,6584052000
Asia,,2012,18400993000
Oceania,,2012,454608350
Europe,,2012,5999425000
Africa,,2012,1255851500
Asia,,2013,18635370000
North America,,2013,6718273000
Europe,,2013,5844850700
Africa,,2013,1265469700
Oceania,,2013,447430400
South America,,2013,1208389400
South America,,2014,1228455700
Africa,,2014,1344915500
Europe,,2014,5614210000
Asia,,2014,18959088000
North America,,2014,6755319000
Oceania,,2014,443793100
Europe,,2015,5614495000
Africa,,2015,1319787300
Oceania,,2015,452367230
Asia,,2015,19113157000
North America,,2015,6609918000
South America,,2015,1193402900
South America,,2016,1151329200
Asia,,2016,19244577000
North America,,2016,6467595000
Oceania,,2016,460575840
Europe,,2016,5606777000
Africa,,2016,1355493500
Oceania,,2017,465370300
Africa,,2017,1369709700
South America,,2017,1133713200
North America,,2017,6418242600
Asia,,2017,19773784000
Europe,,2017,5638487600
South America,,2018,1067226100
Africa,,2018,1357075100
North America,,2018,6599175700
Asia,,2018,20401152000
Europe,,2018,5612440600
Oceania,,2018,468454430
Africa,,2019,1457568100
Asia,,2019,20855636000
Europe,,2019,5436361000
North America,,2019,6489114600
Oceania,,2019,470116400
South America,,2019,1067116200
Asia,,2020,20519535000
Europe,,2020,5029197000
South America,,2020,961400300
Africa,,2020,1356435700
North America,,2020,5835101000
Oceania,,2020,447291680
Asia,,2021,21438681000
Europe,,2021,5310309000
South America,,2021,1085906400
Africa,,2021,1435214100
North America,,2021,6201319400
Oceania,,2021,437097300
Europe,,2022,5105307600
North America,,2022,6279689000
Asia,,2022,21772347000
Africa,,2022,1416626600
Oceania,,2022,441077630
South America,,2022,1085392400
