Country,Code,Year,Annual-CO2-Emissions,GDP-per-capita,Population
Afghanistan,AFG,2022,0.29536375,1358,40578846
Albania,ALB,2022,1.7432004,12978,2827615
Algeria,DZA,2022,3.9272263,13506,45477391
American Samoa,ASM,2022,,,48365
Andorra,AND,2022,4.6171236,,79722
Angola,AGO,2022,0.45155162,6119,35635028
Anguilla,AIA,2022,8.752724,,14202
Antigua and Barbuda,ATG,2022,6.4218745,,92851
Argentina,ARG,2022,4.2378173,18292,45407904
Armenia,ARM,2022,2.3045583,13838,2880883
Aruba,ABW,2022,8.133404,,107792
Australia,AUS,2022,14.985412,52049,26200987
Austria,AUT,2022,6.8781943,43793,9064679
Azerbaijan,AZE,2022,3.6746833,17683,10295307
Bahamas,BHS,2022,5.1708703,,397544
Bahrain,BHR,2022,25.672274,38652,1533459
Bangladesh,BGD,2022,0.5964455,4926,169384890
Barbados,BRB,2022,4.3772573,11546,282324
Belarus,BLR,2022,6.1669006,18700,9173241
Belgium,BEL,2022,7.6875386,41872,11641813
Belize,BLZ,2022,1.7894346,,402741
Benin,BEN,2022,0.631487,2477,13759507
Bermuda,BMU,2022,6.9370627,,64772
Bhutan,BTN,2022,1.3489918,,780920
Bolivia,BOL,2022,1.7583066,6481,12077155
Bonaire Sint Eustatius and Saba,BES,2022,4.083284,,28654
Bosnia and Herzegovina,BIH,2022,6.1034565,12143,3204805
Botswana,BWA,2022,2.838951,16352,2439895
Brazil,BRA,2022,2.2454574,14640,210306411
British Virgin Islands,VGB,2022,5.0039577,,38344
Brunei,BRN,2022,23.950201,,455374
Bulgaria,BGR,2022,6.8044534,20592,6825863
Burkina Faso,BFA,2022,0.26295447,1705,22509037
Burundi,BDI,2022,0.06194545,717,13321101
Cambodia,KHM,2022,1.1900775,3944,17201717
Cameroon,CMR,2022,0.34292704,2812,27632771
Canada,CAN,2022,14.249212,45530,38821260
Cape Verde,CPV,2022,0.9588915,7203,519750
Cayman Islands,CYM,2022,,,71609
Central African Republic,CAF,2022,0.040548485,596,5098038
Chad,TCD,2022,0.13367727,1394,18455319
Chile,CHL,2022,4.3041654,22741,19553032
China,CHN,2022,7.992761,19238,1425179562
Colombia,COL,2022,1.9223082,14469,51737944
Comoros,COM,2022,0.49327007,1900,834192
Congo,COG,2022,1.2447897,4188,6035107
Cook Islands,COK,2022,3.9950094,,14747
Costa Rica,CRI,2022,1.5226681,15497,5081765
Cote d'Ivoire,CIV,2022,0.41668788,4012,30395003
Croatia,HRV,2022,4.348515,26987,3907031
Cuba,CUB,2022,1.8659163,7649,11059821
Curacao,CUW,2022,9.189007,,185351
Cyprus,CYP,2022,5.616782,31523,1331376
Czechia,CZE,2022,9.3357525,32247,10673216
Czechoslovakia,OWID_CZS,2022,,30641,
Democratic Republic of Congo,COD,2022,0.036375992,844,102396974
Denmark,DNK,2022,4.940161,50690,5902898
Djibouti,DJI,2022,0.40418932,3623,1137100
Dominica,DMA,2022,2.1058853,8880,66850
Dominican Republic,DOM,2022,2.1051137,17714,11230734
East Timor,TLS,2022,0.49869007,,1369299
Ecuador,ECU,2022,2.3117273,10124,17823900
Egypt,EGY,2022,2.333106,13205,112618251
El Salvador,SLV,2022,1.2174718,9219,6280316
Equatorial Guinea,GNQ,2022,3.0307202,22707,1803550
Eritrea,ERI,2022,0.18914719,,3409452
Estonia,EST,2022,7.77628,30067,1350092
Eswatini,SWZ,2022,1.0527312,8522,1218921
Ethiopia,ETH,2022,0.15458965,2289,125384285
Falkland Islands,FLK,2022,,,3515
Faroe Islands,FRO,2022,14.084624,,54039
Fiji,FJI,2022,1.1550449,,919428
Finland,FIN,2022,6.5267396,40701,5569299
France,FRA,2022,4.603891,39066,66277412
French Guiana,GUF,2022,,,298319
French Polynesia,PYF,2022,2.8509297,,280389
Gabon,GAB,2022,2.3882635,15721,2430752
Gambia,GMB,2022,0.2847278,2011,2636473
Georgia,GEO,2022,2.962545,14360,3794783
Germany,DEU,2022,7.9837584,46648,84086228
Ghana,GHA,2022,0.6215505,4242,33149151
Gibraltar,GIB,2022,,,37631
Greece,GRC,2022,5.7451057,25284,10412481
Greenland,GRL,2022,10.473997,,56014
Grenada,GRD,2022,2.7133646,,116928
Guadeloupe,GLP,2022,,,384703
Guam,GUM,2022,,,165193
Guatemala,GTM,2022,1.0756185,7969,17847877
Guernsey,GGY,2022,,,63748
Guinea,GIN,2022,0.35742033,1809,14055137
Guinea-Bissau,GNB,2022,0.15518051,1625,2105537
Guyana,GUY,2022,4.3736935,,821636
Haiti,HTI,2022,0.21119381,1546,11503604
Honduras,HND,2022,1.0696708,5187,10463881
Hong Kong,HKG,2022,4.081913,48289,7465914
Hungary,HUN,2022,4.449911,29452,9684306
Iceland,ISL,2022,9.499798,42146,380368
India,IND,2022,1.9966822,7766,1425423212
Indonesia,IDN,2022,2.6456614,12802,278830529
Iran,IRN,2022,7.7993317,18473,89524247
Iraq,IRQ,2022,4.024638,13072,44070556
Ireland,IRL,2022,7.7211185,60257,5110013
Isle of Man,IMN,2022,,,84144
Israel,ISR,2022,6.208912,36649,9103144
Italy,ITA,2022,5.726825,36224,59619106
Jamaica,JAM,2022,2.2945588,7482,2839151
Japan,JPN,2022,8.501681,38269,124997586
Jersey,JEY,2022,,,103493
Jordan,JOR,2022,2.0301995,9151,11256268
Kazakhstan,KAZ,2022,13.979704,26492,20034612
Kenya,KEN,2022,0.45998666,3404,54252456
Kiribati,KIR,2022,0.5184742,,130481
Kosovo,OWID_KOS,2022,4.830646,,1717950
Kuwait,KWT,2022,25.578102,71534,4589514
Kyrgyzstan,KGZ,2022,1.4251612,5305,6955792
Laos,LAO,2022,3.0803475,7168,7559007
Latvia,LVA,2022,3.561689,27220,1881058
Lebanon,LBN,2022,4.3543963,10341,5744494
Lesotho,LSO,2022,1.3594668,2313,2286112
Liberia,LBR,2022,0.1653753,811,5373296
Libya,LBY,2022,9.242238,12755,7223804
Liechtenstein,LIE,2022,3.8097827,,39336
Lithuania,LTU,2022,4.606163,30863,2816922
Luxembourg,LUX,2022,11.618432,55485,653316
Macao,MAC,2022,1.5127679,,704359
Madagascar,MDG,2022,0.14871116,1367,30437263
Malawi,MWI,2022,0.10262384,1190,20568731
Malaysia,MYS,2022,8.576508,26629,34695494
Maldives,MDV,2022,3.2475724,,524116
Mali,MLI,2022,0.31153768,1652,23072639
Malta,MLT,2022,3.1035979,34496,528194
Marshall Islands,MHL,2022,3.6353714,,40094
Martinique,MTQ,2022,,,349461
Mauritania,MRT,2022,0.957337,3680,4875645
Mauritius,MUS,2022,3.2697906,20643,1276134
Mayotte,MYT,2022,,,305278
Mexico,MEX,2022,4.0153365,16235,128613113
Micronesia (country),FSM,2022,1.3243006,,112124
Moldova,MDA,2022,1.6565942,6675,3039987
Monaco,MCO,2022,,,38949
Mongolia,MNG,2022,11.150772,13443,3386015
Montenegro,MNE,2022,3.6558185,20942,614650
Montserrat,MSR,2022,4.8447766,,4476
Morocco,MAR,2022,1.8263615,8400,37329069
Mozambique,MOZ,2022,0.24274588,1088,32656240
Myanmar,MMR,2022,0.6445672,5177,53756790
Namibia,NAM,2022,1.5399038,7979,2889668
Nauru,NRU,2022,4.1700416,,11821
Nepal,NPL,2022,0.5074035,3014,29715434
Netherlands,NLD,2022,7.1372175,49670,17904422
New Caledonia,NCL,2022,17.641167,,287131
New Zealand,NZL,2022,6.212154,38250,5131733
Nicaragua,NIC,2022,0.79879653,5093,6730661
Niger,NER,2022,0.116688,1008,25311977
Nigeria,NGA,2022,0.5891771,5070,223150906
Niue,NIU,2022,3.8729508,,1844
North Korea,PRK,2022,1.9513915,1569,26328842
North Macedonia,MKD,2022,3.6245701,14051,1840236
Northern Mariana Islands,MNP,2022,,,46101
Norway,NOR,2022,7.5093055,88366,5456795
Oman,OMN,2022,15.730261,47989,4730227
Pakistan,PAK,2022,0.84893465,5532,243700667
Palau,PLW,2022,12.123921,,17784
Palestine,PSE,2022,0.6660658,4775,5305274
Panama,PAN,2022,2.699258,23557,4400772
Papua New Guinea,PNG,2022,0.77131313,,10203176
Paraguay,PRY,2022,1.3299496,8763,6760461
Peru,PER,2022,1.7891879,12763,33475435
Philippines,PHL,2022,1.3014648,8371,113964342
Poland,POL,2022,8.106886,32468,38385734
Portugal,PRT,2022,4.050785,28992,10417075
Puerto Rico,PRI,2022,,35281,3240971
Qatar,QAT,2022,37.601273,149171,2892465
Reunion,REU,2022,,,871542
Romania,ROU,2022,3.739777,26198,19166776
Russia,RUS,2022,11.416899,25437,145579890
Rwanda,RWA,2022,0.112346195,2198,13651026
Saint Barthelemy,BLM,2022,,,10948
Saint Helena,SHN,2022,3.2986484,,5369
Saint Kitts and Nevis,KNA,2022,4.708081,,46731
Saint Lucia,LCA,2022,2.6149206,10452,178794
Saint Martin (French part),MAF,2022,,,28898
Saint Pierre and Miquelon,SPM,2022,10.293288,,5760
Saint Vincent and the Grenadines,VCT,2022,2.2964725,,102062
Samoa,WSM,2022,1.1218625,,215269
San Marino,SMR,2022,,,34113
Sao Tome and Principe,STP,2022,0.5816142,3752,226313
Saudi Arabia,SAU,2022,18.197495,53517,32175352
Senegal,SEN,2022,0.6738352,2661,17651099
Serbia,SRB,2022,6.024712,17098,6791218
Seychelles,SYC,2022,6.1495123,31055,125532
Sierra Leone,SLE,2022,0.13124847,1690,8276808
Singapore,SGP,2022,8.911513,80320,5649886
Sint Maarten (Dutch part),SXM,2022,14.352394,,42163
Slovakia,SVK,2022,6.051555,27519,5473194
Slovenia,SVN,2022,5.9979916,32674,2115230
Solomon Islands,SLB,2022,0.41232163,,781075
Somalia,SOM,2022,0.03676208,,17801893
South Africa,ZAF,2022,6.7461643,11416,62378419
South Korea,KOR,2022,11.598764,41321,51782514
South Sudan,SSD,2022,0.1680176,,11021175
Spain,ESP,2022,5.1644425,34123,47828386
Sri Lanka,LKA,2022,0.7936504,10705,22834964
Sudan,SDN,2022,0.4696261,,49383343
Suriname,SUR,2022,5.8029985,,623173
Svalbard and Jan Mayen,SJM,2022,,,2400
Sweden,SWE,2022,3.6069093,47126,10487333
Switzerland,CHE,2022,4.0478554,63323,8792180
Syria,SYR,2022,1.2490375,2495,22462170
Taiwan,TWN,2022,11.630868,53143,23420107
Tajikistan,TJK,2022,1.0064901,5508,10182229
Tanzania,TZA,2022,0.23771806,3057,64711821
Thailand,THA,2022,3.7762568,16421,71735320
Togo,TGO,2022,0.2910665,1587,9089742
Tokelau,TKL,2022,,,2312
Tonga,TON,2022,1.7686282,,105053
Trinidad and Tobago,TTO,2022,22.423758,25773,1495922
Tunisia,TUN,2022,2.879285,10914,12119336
Turkey,TUR,2022,5.1052055,27362,87058470
Turkmenistan,TKM,2022,11.03418,17235,7230198
Turks and Caicos Islands,TCA,2022,7.636793,,45869
Tuvalu,TUV,2022,1.0004411,,10012
USSR,OWID_USS,2022,,19355,
Uganda,UGA,2022,0.12744623,2122,47312718
Ukraine,UKR,2022,3.5578535,7749,41048767
United Arab Emirates,ARE,2022,25.833244,77204,10242085
United Kingdom,GBR,2022,4.7201805,38407,68179315
United States,USA,2022,14.949616,58487,341534041
United States Virgin Islands,VIR,2022,,,86521
Uruguay,URY,2022,2.3060381,20182,3390913
Uzbekistan,UZB,2022,3.4830604,12559,34938955
Vanuatu,VUT,2022,0.6363055,,313062
Vatican,VAT,2022,,,513
Venezuela,VEN,2022,2.7168686,5267,28213016
Vietnam,VNM,2022,3.4995174,8050,99680656
Wallis and Futuna,WLF,2022,2.2819076,,11501
Western Sahara,ESH,2022,,,568746
Yemen,YEM,2022,0.33701748,1959,38222880
Yugoslavia,OWID_YGS,2022,,19352,
Zambia,ZMB,2022,0.44570068,3342,20152934
Zimbabwe,ZWE,2022,0.542628,1704,16069061
